"","Rank","Tier","Player","Pos","Team","Bye","ADP","Floor","Consensus","FP","Ceiling","MVP"
"","146","10","J.K. Dobbins","RB","LAC","5","11.08","69.3","111.0","97.6","214.8","8.3"
"","147","6","Luke Musgrave","TE","GB","10","15.01","87.2","95.4","103.8","153.6","7.7"
"","148","11","Marvin Mims Jr.","WR","DEN","14","20.01","89.2","84.7","101.4","188.6","7.5"
"","149","11","Adam Thielen","WR","CAR","11","14.12","99.5","139.4","110.5","160.2","7.4"
"","150","6","Taysom Hill","TE","NO","12","14.01","83.0","35.3","109.2","195.5","7.4"
"Handcuff Flyer","151","10","Rico Dowdle","RB","DAL","7","11.07","82.4","108.6","93.7","201.4","7.0"
"","152","11","Xavier Legette","WR","CAR","11","14.04","84.6","99.0","103.1","190.8","6.5"
"Injured","153","6","Justin Herbert","QB","LAC","5","11.10","249.9","290.7","277.7","352.7","6.5"
"Sleeper","154","6","Noah Fant","TE","SEA","10","18.04","88.0","92.0","107.3","144.8","5.8"
"Sleeper","155","11","Greg Dortch","WR","ARI","11","21.10","93.5","84.5","101.6","182.9","5.1"
"","156","11","Elijah Moore","WR","CLE","10","47.09","83.0","86.9","105.1","180.7","5.0"
"","157","6","Hunter Henry","TE","NE","14","16.07","91.2","107.0","101.3","135.8","4.7"
"","158","6","Tua Tagovailoa","QB","MIA","6","9.09","252.0","286.3","273.9","345.1","4.3"
"","159","11","Tyler Boyd","WR","TEN","5","22.02","92.0","95.3","105.7","159.7","4.2"
"Sleeper","160","11","Jalen Tolbert","WR","DAL","7","44.07","84.3","79.4","99.1","188.3","4.2"
"Sleeper","161","6","Tyler Conklin","TE","NYJ","12","16.11","91.7","97.4","104.2","143.8","4.2"
"","162","11","Luke McCaffrey","WR","WAS","14","19.07","74.2","87.8","82.5","193.8","4.0"
"","163","10","Khalil Herbert","RB","CHI","7","16.03","79.6","106.7","95.8","162.9","3.8"
"","164","11","Jalen McMillan","WR","TB","11","21.11","83.7","89.5","94.0","183.3","3.3"
"","165","6","Cole Kmet","TE","CHI","7","12.06","81.0","100.0","97.6","142.5","3.2"
"Sleeper","166","11","Rashod Bateman","WR","BAL","14","19.08","83.6","109.8","89.9","177.0","3.2"
"Handcuff Flyer","167","10","Mar'Keise 'Bucky' Irving","RB","TB","11","16.08","78.1","84.2","94.1","174.1","3.1"
"","168","11","Malachi Corley","WR","NYJ","12","21.12","77.7","77.5","106.5","167.1","3.0"
"","169","11","D.J. Chark Jr.","WR","LAC","5","31.06","80.0","99.2","94.2","172.3","2.6"
"Sleeper","170","11","Jermaine Burton","WR","CIN","12","18.11","60.0","90.6","87.0","181.0","2.5"
"Handcuff Flyer","171","10","Ray Davis","RB","BUF","12","15.11","77.0","81.1","90.5","177.5","2.5"
"Handcuff Flyer","172","10","Jordan Mason","RB","SF","9","17.12","70.2","87.0","78.0","202.7","2.5"
"","173","11","Jahan Dotson","WR","PHI","5","15.05","86.8","91.1","96.4","166.8","2.4"
"Sleeper","174","10","Jaylen Wright","RB","MIA","6","13.05","64.9","64.3","77.3","189.4","2.0"
"","175","11","Jalin Hyatt","WR","NYG","11","50.06","79.5","90.2","93.6","173.1","1.9"
"","176","6","Jonnu Smith","TE","MIA","6","18.02","82.6","84.2","92.8","146.7","1.4"
"Handcuff Flyer","177","10","Tyler Allgeier","RB","ATL","12","13.10","75.0","108.9","81.5","163.0","1.1"
"","178","6","Deshaun Watson","QB","CLE","10","15.08","222.1","266.6","270.9","357.6","0.8"
"Handcuff Flyer","179","10","MarShawn Lloyd","RB","GB","10","15.02","68.0","69.3","81.0","190.4","0.8"
"Injured","180","11","Roman Wilson","WR","PIT","9","20.02","76.2","87.7","96.5","157.3","0.6"
"Value","181","6","Geno Smith","QB","SEA","10","17.02","246.0","259.6","270.4","343.3","0.3"
"Handcuff Flyer","182","10","Braelon Allen","RB","NYJ","12","16.04","71.7","70.2","81.5","177.7","0.0"
"Injured","183","11","Ricky Pearsall","WR","SF","9","17.09","72.0","84.3","96.0","156.5","-0.1"
"Injured","184","6","Juwan Johnson","TE","NO","12","37.08","73.5","90.0","94.2","130.0","-0.5"
"","185","11","Quentin Johnston","WR","LAC","5","17.10","77.7","85.4","87.3","165.0","-0.5"
"","186","11","Kendrick Bourne","WR","NE","14","31.10","74.2","106.3","87.3","148.4","-1.0"
"","187","11","Josh Reynolds","WR","DEN","14","34.03","72.9","92.1","85.8","158.7","-1.4"
"","188","6","Aaron Rodgers","QB","NYJ","12","12.10","235.1","287.6","264.2","330.2","-1.6"
"","189","6","Chigoziem 'Chig' Okonkwo","TE","TEN","5","18.01","74.3","86.9","94.0","122.2","-1.7"
"","190","11","Dyami Brown","WR","WAS","14","42.11","68.7","71.3","79.9","183.7","-1.7"
"Handcuff Flyer","191","10","Alexander Mattison","RB","LVR","10","19.04","72.4","71.0","80.4","158.4","-1.8"
"Trending Down","192","10","Kimani Vidal","RB","LAC","5","15.07","62.6","38.5","74.5","171.5","-1.9"
"Injured","193","10","Tyrone Tracy Jr.","RB","NYG","11","16.12","63.1","71.8","78.9","161.8","-2.2"
"","194","10","Roschon Johnson","RB","CHI","7","19.10","73.2","66.4","81.3","150.5","-2.5"
"","195","11","Andrei Iosivas","WR","CIN","12","48.04","59.0","82.1","73.7","184.3","-2.8"
"Handcuff Flyer","196","10","Tank Bigsby","RB","JAC","12","18.07","57.5","54.0","65.3","192.6","-3.3"
"","197","10","Audric Estime","RB","DEN","14","18.12","60.4","60.5","66.4","182.5","-3.4"
"Sleeper","198","6","Will Levis","QB","TEN","5","16.02","219.6","252.5","255.4","342.2","-3.8"
"Injured","199","6","Matthew Stafford","QB","LAR","6","13.08","245.3","275.8","250.3","340.4","-4.0"
"Injured","200","10","D'Onta Foreman","RB","CLE","10","34.11","41.2","55.1","63.3","167.8","-4.4"
"","201","7","Mike Gesicki","TE","CIN","12","20.06","70.6","74.7","78.5","139.7","-4.6"
"","202","6","Kirk Cousins","QB","ATL","12","13.03","204.8","266.8","262.6","344.0","-4.7"
"","203","10","Kenneth Gainwell","RB","PHI","5","56.10","71.8","59.0","82.6","128.0","-4.8"
"","204","11","Tre Tucker","WR","LVR","10","50.08","68.3","79.1","85.3","136.5","-4.8"
"","205","7","Ben Sinnott","TE","WAS","14","16.05","59.1","68.3","70.4","144.2","-5.2"
"","206","7","Cade Otton","TE","TB","11","16.06","75.2","91.3","76.8","122.8","-5.3"
"","207","11","Treylon Burks","WR","TEN","5","48.11","67.3","74.7","79.2","146.5","-5.4"
"","208","7","Michael Mayer","TE","LVR","10","57.02","70.5","71.8","80.2","131.4","-5.4"
"Handcuff Flyer","209","10","Dameon Pierce","RB","HOU","14","17.04","53.7","63.0","63.2","167.4","-5.6"
"Injured","210","11","Odell Beckham Jr.","WR","MIA","6","24.01","51.5","99.3","79.2","138.5","-5.6"
"","211","7","Greg Dulcich","TE","DEN","14","51.08","48.0","78.8","80.0","137.6","-5.9"
"","212","7","Dawson Knox","TE","BUF","12","36.02","70.4","69.6","75.7","137.1","-6.0"
"Injured","213","10","Kendre Miller","RB","NO","12","17.01","40.8","82.0","74.1","122.3","-6.1"
"Injured","214","10","Keaton Mitchell","RB","BAL","14","20.08","49.3","72.9","75.8","128.8","-6.4"
"","215","8","Tucker Kraft","TE","GB","10","58.06","59.2","66.0","61.1","149.6","-6.7"
"Sleeper","216","8","Colby Parkinson","TE","LAR","6","47.04","70.5","52.4","78.4","137.1","-6.7"
"","217","10","Justice Hill","RB","BAL","14","19.09","63.0","54.8","75.0","127.5","-6.9"
"","218","11","Javon Baker","WR","NE","14","23.08","51.5","58.6","57.2","168.7","-7.0"
"","219","10","Samaje Perine","RB","KC","6","34.10","52.5","49.9","62.5","161.2","-7.0"
"","220","11","Ray-Ray McCloud","WR","ATL","12","55.12","63.1","76.3","74.3","141.2","-7.1"
"","221","10","Miles Sanders","RB","CAR","11","47.07","62.9","61.0","66.2","139.0","-7.1"
"","222","11","Darius Slayton","WR","NYG","11","39.05","63.5","110.4","74.7","115.7","-7.3"
"","223","11","Troy Franklin","WR","DEN","14","18.03","45.2","73.2","56.4","163.7","-7.3"
"Handcuff Flyer","224","10","Clyde Edwards-Helaire","RB","KC","6","18.10","50.7","65.2","59.7","152.1","-7.5"
"","225","10","Jamaal Williams","RB","NO","12","40.04","52.5","74.3","58.3","141.1","-8.1"
"","226","11","Kalif Raymond","WR","DET","5","50.02","62.2","67.9","73.1","139.0","-8.2"
"","227","11","Jalen Nailor","WR","MIN","6","74.03","53.6","65.5","67.0","157.4","-8.3"
"","228","11","Alec Pierce","WR","IND","14","70.01","60.1","72.5","66.8","148.3","-8.3"
"","229","8","Isaiah Likely","TE","BAL","14","15.09","55.4","83.7","61.5","144.5","-8.6"
"","230","11","Malik Washington","WR","MIA","6","49.04","51.5","42.5","60.6","181.9","-8.8"
"","231","8","Zach Ertz","TE","WAS","14","36.07","63.7","83.2","74.1","127.4","-8.8"
"","232","10","Dalvin Cook","RB","DAL","7","28.09","35.4","38.2","54.5","171.7","-9.2"
"","233","8","Theo Johnson","TE","NYG","11","56.09","48.6","71.5","60.7","142.7","-10.5"
"","234","11","Tim Patrick","WR","DET","5","34.04","38.9","75.4","55.5","161.1","-10.5"
"","235","6","Baker Mayfield","QB","TB","11","14.09","227.1","259.4","255.1","324.0","-10.6"
"","236","11","Michael Thomas","WR","UNS","1","50.03","43.5","49.2","86.9","111.3","-10.6"
"","237","11","Jonathan Mingo","WR","CAR","11","48.12","47.4","77.6","55.1","151.6","-10.8"
"","238","11","Noah Brown","WR","WAS","14","43.12","47.6","71.2","56.0","153.9","-10.8"
"Injured","239","10","Pierre Strong Jr.","RB","CLE","10","28.12","40.4","44.5","47.5","156.8","-11.1"
"","240","11","Hunter Renfrow","WR","UNS","1","58.09","62.3","19.6","76.0","133.0","-11.4"
"","241","8","Kylen Granson","TE","IND","14","63.05","54.9","58.6","59.7","140.2","-11.6"
"","242","6","Daniel Jones","QB","NYG","11","19.11","190.0","247.6","253.3","331.8","-11.7"
"","243","9","Sam Darnold","QB","MIN","6","38.11","187.0","234.2","256.2","335.6","-11.9"
"Handcuff Flyer","244","10","Trey Sermon","RB","IND","14","50.07","37.7","43.8","44.3","155.1","-12.0"
"","245","8","Gerald Everett","TE","CHI","7","58.11","53.9","65.8","59.8","128.7","-12.4"
"","246","10","Will Shipley","RB","PHI","5","19.05","43.2","44.6","50.8","127.0","-12.9"
"","247","11","Xavier Gipson","WR","NYJ","12","77.02","39.2","42.9","65.3","137.1","-13.1"
"","248","9","Bo Nix","QB","DEN","14","16.01","209.1","229.4","248.9","328.6","-13.2"
"","249","8","Ja'Tavion Sanders","TE","CAR","11","21.06","52.1","57.5","67.6","111.6","-13.4"
"","250","11","Tyquan Thornton","WR","NE","14","33.11","47.9","34.3","54.4","155.1","-13.4"
"","251","20","Carson Steele","RB","KC","6","29.04","32.9","33.0","38.7","158.5","-13.6"
"","252","8","Hayden Hurst","TE","LAC","5","39.09","48.0","73.7","53.3","130.6","-13.6"
"","253","11","JuJu Smith-Schuster","WR","KC","6","34.02","45.8","65.2","57.3","126.0","-13.9"
"","254","11","Olamide Zaccheaus","WR","WAS","14","35.12","45.1","66.9","53.0","132.6","-14.0"
"","255","11","Mecole Hardman","WR","KC","6","62.01","51.8","27.5","64.8","129.5","-14.1"
"","256","20","Cam Akers","RB","HOU","14","50.12","26.9","33.8","38.5","153.9","-14.3"
"","257","11","Bo Melton","WR","GB","10","71.11","39.9","38.5","42.9","171.6","-14.4"
"","258","11","Van Jefferson","WR","PIT","9","37.07","52.6","59.6","58.4","116.8","-14.5"
"","259","11","Devontez Walker","WR","BAL","14","51.03","47.1","43.6","54.8","137.0","-14.6"
"","260","20","Dylan Laube","RB","LVR","10","56.08","41.4","36.3","48.7","116.9","-14.8"
"","261","20","Rasheen Ali","RB","BAL","14","65.04","39.3","26.3","46.3","129.5","-14.8"
"","262","11","Kadarius Toney","WR","UNS","1","65.10","35.9","27.7","58.0","144.9","-15.0"
"","263","20","Eric Gray","RB","NYG","11","60.01","34.0","44.4","40.0","130.0","-15.1"
"","264","11","Nelson Agholor","WR","BAL","14","49.12","51.7","60.5","58.7","108.7","-15.2"
"","265","11","A.T. Perry","WR","NO","12","46.07","40.7","68.7","47.9","127.0","-15.7"
"","266","20","Kene Nwangwu","RB","UNS","1","60.07","31.8","8.2","37.4","149.8","-16.0"
"","267","11","Devaughn Vele","WR","DEN","14","79.08","35.5","21.3","41.8","171.2","-16.1"
"Injured","268","11","Marquez Valdes-Scantling","WR","BUF","12","39.07","44.6","41.5","52.5","128.6","-16.2"
"","269","20","Jeffery 'Jeff' Wilson Jr.","RB","MIA","6","42.06","39.3","24.6","43.7","117.9","-16.3"
"","270","11","Justin Watson","WR","KC","6","41.09","43.1","38.9","56.7","120.8","-16.4"
"","271","9","Bryce Young","QB","CAR","11","19.01","216.3","234.5","232.6","327.9","-16.5"
"Injured","272","20","Royce Freeman","RB","UNS","1","42.08","38.6","7.9","42.9","128.7","-16.5"
"Injured","273","20","Nyheim Hines","RB","CLE","10","57.03","25.3","35.1","50.7","101.4","-16.8"
